m/z;Spot 11982;Spot 11983;Spot 12084;Spot 12085;Spot 12086;Spot 12186;Spot 12187;Spot 12188;Spot 12287;Spot 12288;Spot 12289;Spot 12388;Spot 12389;Spot 12390;Spot 12488;Spot 12489;Spot 12490;Spot 12587;Spot 12588;Spot 12589;Spot 12686;Spot 12687;Spot 12688;Spot 12784;Spot 12785;Spot 12786;Spot 12877;Spot 12878;Spot 12883;Spot 12884;Spot 12885;Spot 12974;Spot 12975;Spot 12976;Spot 12980;Spot 12981;Spot 12982;Spot 13072;Spot 13073;Spot 13074;Spot 13077;Spot 13078;Spot 13079;Spot 13168;Spot 13169;Spot 13170;Spot 13171;Spot 13173;Spot 13174;Spot 13175;Spot 13263;Spot 13264;Spot 13265;Spot 13266;Spot 13267;Spot 13268;Spot 13269;Spot 13270;Spot 13360;Spot 13361;Spot 13362;Spot 13363;Spot 13364;Spot 13365;Spot 13456;Spot 13457;Spot 13458;Spot 13459;Spot 13552;Spot 13553;Spot 13647
255.23365946751;123952.2652063;87989.911028468;115585.18291519;91036.454781695;108921.70366124;104124.29701217;102203.63689727;104965.41360212;105308.58556142;89406.111608703;99254.632677888;104238.75301572;94990.368828683;90842.312187784;113422.85014915;115799.95105833;89140.738574289;103587.90172782;108645.41491849;88053.302579105;114946.27197857;104983.26064471;89868.99498372;93285.482247315;103512.11541428;105649.02739708;87104.898967338;83627.789549617;101191.68702403;82569.022939027;113628.2874243;85284.737062959;97513.359327589;81682.940455211;87914.774483122;104313.51305261;89577.168259687;65111.210321845;88758.439061154;95113.252964248;84984.277099094;119287.81379437;100002.30650584;90511.401593342;84358.117679297;91927.644682175;107890.9150051;79761.000808408;109969.00470258;87758.308004598;86891.59333094;94670.569709223;95314.873204577;108787.22973732;93619.730879654;94759.87160744;112930.48698262;101475.09750174;91455.315042138;82573.174877184;92038.169382746;105340.84321258;111877.6090223;99257.743331529;94796.767331881;83159.359373634;86579.77902678;100229.68936578;94754.981782791;99439.647620244;103586.34415738
281.24944079343;392304.72616056;313579.06896449;368624.65809252;285441.0446823;339916.67211605;373713.58739105;342028.08527873;365480.26613361;371635.66286421;317808.17364238;317995.01202193;358775.71125603;311306.40666775;300671.83941858;384584.38308119;364508.88588994;307940.61381827;345760.65383941;299685.88718678;305881.41313321;361590.53328594;335788.16221225;320617.02872392;294615.1194094;336752.53977263;357300.38832283;296678.75160932;302600.24211765;356563.57045418;291527.87555575;300587.11819207;269878.30994778;255285.56190922;272195.58960175;290564.52088216;309463.25098485;318172.94504693;225944.92795298;280885.57525801;313242.83950733;366237.47448426;319945.49396406;310189.47243627;275519.8276672;257890.66936007;277088.15640909;330321.33178444;375202.75036186;352370.17997754;307657.82606387;262627.48132114;283833.88897227;292055.84901885;338179.63444069;297419.73464465;455451.38296235;413039.12688559;318962.85838539;285281.04376423;289018.03018777;271178.90968255;385636.44819826;515200.39978057;342672.55904639;277304.74213849;249656.04660433;314771.9756597;477604.45667496;291847.7023024;427132.6683534;503966.83416369
282.25059871635;78196.983412754;58452.773447397;66505.699616855;61687.64823535;61904.210437512;73620.387091258;63243.364175877;68961.105446352;66643.366155146;62671.578160293;67682.022250692;67492.523750382;56953.88787436;59368.10557991;67069.988912693;67362.676910725;61521.993456868;61451.419647426;54155.834446588;57028.418376175;66289.420880707;52519.159653093;51157.767669865;56975.820839008;56935.480477146;88833.156627698;62825.237054494;56250.931841173;64204.492196749;44765.111748807;58013.811936225;45265.049756875;47275.628309086;47457.669009041;63549.333072462;58729.945924847;59876.483359002;46011.26704405;53259.40508343;62617.724474598;68691.405559158;59207.992937018;57903.609405403;56007.510515477;51849.648121442;52425.23443437;68064.208632473;66084.671486306;69036.610563471;59189.856601164;53425.57819066;53465.247890975;50601.415090108;60967.01457877;66495.763372057;81050.002223032;72297.010676397;61252.812031897;53090.785195385;54920.176227971;48989.462151967;71734.980352505;98422.301236898;71122.89432797;57438.354481233;48470.498305158;55808.342458303;87203.32622514;50217.881847549;75661.225866189;90956.903562401
290.08905172566;103686.34963916;73599.221921248;85916.436019555;68372.150047107;89472.772423322;64739.679853187;68072.46984348;70064.92520887;85131.767563328;61548.767756443;69516.192720396;87132.678230064;78381.484718459;78628.824813151;62356.318644208;77946.950884619;78032.293607364;61763.705015246;65498.461388044;65136.873765809;74709.089198987;71994.402040718;62472.136461671;71351.431182535;82083.136480276;61727.501574101;79360.035181523;78512.33627049;65313.513942948;59181.496937563;79039.2421611;80857.093461417;80394.053132941;77278.736083675;49237.661205189;70866.814097185;58241.066318939;84762.801073202;79090.312713966;74967.590992452;56634.76797072;67779.811982785;72629.261229733;80072.915792296;73253.648156573;86398.874077672;97118.959910779;30510.962265263;77249.551332467;56053.292563202;81407.601476394;100137.75173658;75728.928990222;86508.363163988;78008.651390796;53092.613236986;59304.102245797;69266.401781575;75013.473678795;80624.425002109;71910.8030403;89270.551095768;52061.760979596;62476.507935422;66147.542926272;67145.305175692;66263.704311793;55833.734011384;96111.695746043;84525.457801552;56991.948580163
303.23385112436;350857.28970835;301632.61868673;352740.87656116;287866.44578385;380130.81590305;352891.70911447;374460.94349828;360400.65061977;352720.01022772;338960.36776657;330644.52319028;371930.95641165;350652.26393646;335488.7059769;374697.71794532;388771.50369896;362616.88576694;336967.02288578;339342.88869242;316994.31679261;408124.75670079;355992.16507263;287044.87397232;313148.5159325;411107.41005016;355146.33348549;279212.5256003;282695.44166223;354928.90523912;305373.57471652;326020.06949068;272766.78523577;279585.53088487;268193.31833077;273114.53239121;335667.61999009;306129.15785765;256474.58501522;308874.77796311;305892.04229436;315892.88781683;390385.7388213;329296.3358958;315991.74683909;266581.66369866;328592.79497304;376262.28331943;261648.98924481;384080.41463049;319731.13545616;294213.19379516;312345.87650291;293542.23688083;364919.89439432;330926.54128754;325248.69552077;358976.56060129;331538.88415137;295452.21066359;313369.98554314;320468.99341875;408547.89209009;342178.49560497;343150.51078263;333792.54858501;305379.34219305;290443.43211312;343533.87570318;337007.95551517;340917.79020123;343548.13352406
857.51275620514;102244.71032166;110430.2886658;92849.855634015;92285.223404359;137350.39676147;90466.430842326;105166.33897524;106104.16906399;90895.572339648;93947.731536296;105848.54329737;126531.01638766;107496.55125766;92681.875964832;93504.412656891;109814.62070333;114768.1421395;77614.154109277;97571.6434908;110296.54639968;107790.85305574;104920.56413505;86472.215471581;70054.289246409;118102.41892025;99070.22704448;90920.991475108;72491.112231313;83280.464803375;92763.642572812;134043.14029577;125874.68955632;110129.34560027;115584.37968896;90619.526254254;96502.078998906;106290.92099582;113683.38122204;108140.64752552;69204.688865382;78012.997120996;114048.11836395;103278.9904757;121756.51329241;99665.963726938;112740.06330677;114517.74878803;89729.554788367;115497.59667103;97086.424241232;123985.67978638;125133.31159743;117140.66265368;124134.34034473;134343.69815006;107407.63153208;112365.24143833;97265.100880108;137425.37671047;126440.09167382;111825.76549359;137685.73526526;131359.3008948;88733.85064021;137863.51902778;108706.12196496;108973.91174169;134268.82619396;110764.76180165;135326.23582424;156199.69521537
863.60637621505;45628.811909232;14402.522237292;26515.631615322;25892.409922361;27528.408663532;27550.591244058;26021.165536557;42907.457834748;25335.282944716;34153.365877011;14062.686953375;28699.081238157;14449.429624632;23118.135702829;27557.302705711;29428.514683457;21306.689686546;24902.515066765;0;41693.769923074;0;19924.75719208;41833.680280438;23496.642177612;0;0;19967.951875442;26038.611694149;30173.188286238;0;21974.572081039;32840.934394761;0;21956.116908925;21855.158158593;18646.334208636;60556.100318968;25899.3230552;17938.458726135;0;0;0;0;0;22302.397057403;0;0;27969.530090565;0;29352.665010562;16934.701941881;0;25846.419233598;26230.436686187;0;16523.279469171;20933.635391693;26367.333865383;23746.053857148;20434.22930798;0;0;0;32223.465096211;22384.349590734;18343.846021278;0;0;36428.774543882;0;32941.962062863
878.61326451653;66549.802384029;63757.240681705;46971.002574088;37404.193895807;56990.418418375;35461.031705552;27160.744990177;45359.391106035;30176.781079207;33941.878778254;39200.101436578;28885.115072609;43846.83367016;31669.714691956;25283.883345964;35111.135318348;48533.63746734;27821.717169593;28942.673639084;41082.509549076;22089.534744712;20485.122282286;72740.906975007;11502.526856668;25712.587227637;15035.533723106;28320.855924392;25128.506445382;27280.098240867;17822.578625044;36611.739849789;51340.088935116;28754.069523999;20086.654950752;9506.0729034116;21369.250550948;116615.68853678;26685.861342988;17247.884566664;22951.003017903;14223.261975917;15485.82273218;18114.407577564;18804.959457965;19213.368553627;43856.934539487;18066.039281449;27503.038215877;34852.151339713;68258.852972958;22348.89770065;44657.267538447;24897.275333686;26372.853557843;29279.338842381;10466.739285216;46426.660853536;26569.112833447;26344.944282998;43690.67767817;14310.62652847;13267.772893635;14971.755389028;23423.232195798;31776.884311143;30799.68242595;7900.3563952995;17982.124468597;13106.853555387;15519.822998018;31050.288479391
879.61034346618;85958.199195249;30179.395457047;34770.030012432;30751.343657338;34339.939335039;19046.231302188;29047.342612481;48273.130892149;33894.828925464;26095.147445874;28786.664548853;27903.850525025;30600.735588064;32335.244764591;30524.311912772;38758.152594024;51525.033875408;20195.382693723;34150.095319788;47427.053142415;16223.746546089;18658.24447097;82079.08654628;35519.742115476;26575.696611685;25657.265732049;23977.4933413;21584.738376465;0;28236.953919421;39565.013627167;28159.936940108;18936.09219138;23295.396902855;29154.534708482;32304.086602728;109038.15672424;25200.978252704;37424.686477793;28144.520106877;0;0;11800.824752226;24873.019736295;0;33542.458146763;12362.941864596;29193.462770137;0;66906.985506961;23100.302474447;9670.8550865007;20160.722109333;20521.682763601;22607.370986281;19172.725655655;33630.984270554;39168.091008737;39441.27893911;39571.707222412;13521.943372806;19969.180046156;1000.2921925324;24103.069283393;30953.579439922;18421.236224982;18630.253267125;0;13066.913412744;0;29250.723114558
885.5576986702;433982.26290901;421324.28092303;379647.60800356;334493.03941205;609611.79605395;333609.95220245;414737.87180622;464266.61811226;393401.08127269;464514.28341538;471388.5962603;454635.0784356;452935.09435403;368446.09215394;382038.89464207;419501.29269953;451459.93150682;322357.68346826;394872.13537514;397201.5074742;462276.57664166;398345.47659811;347997.67272479;248833.79277514;459145.49583663;351660.81928062;304944.67281354;244099.37016546;340348.83460846;289760.22515386;638023.27580906;369824.21679145;378172.73633449;330593.22594743;227800.69309275;393392.54389891;429476.39400915;359834.63120673;338005.6895727;307779.76744302;214165.8730683;401062.56683344;402933.76211926;451660.39109742;387033.54691521;481783.26534347;507870.45885203;145699.76738548;429085.65902294;411835.92172047;485178.34606275;462876.72842709;405817.10705435;491808.02836373;368691.49133537;235921.46846381;373354.26725581;368103.44796311;450097.30482608;545737.70468348;429584.72433241;568968.15973563;268608.86489776;355379.6291902;488977.69607261;377057.69037201;387029.96312386;321606.97126892;569964.23021238;403422.43537201;365252.30060971
886.55434232254;342653.4525502;318741.66458319;286101.57692612;252507.28751378;413377.54423095;267618.49315994;306466.44031591;345866.54330748;271574.8921704;358262.16950054;339455.98019329;354091.33455411;364328.88716367;279051.44298321;281890.71866528;324184.51315618;353193.99429152;263625.49648477;282242.90083569;297033.3862412;344813.27309675;295972.72120099;277759.63560715;207152.02027895;330707.73121539;283042.7293151;266337.09912108;220944.03368528;280033.38419782;242754.77387781;469406.36032837;307173.75478041;322908.70616364;270833.95938757;210828.61448184;305234.01627784;316311.55852027;294184.50399831;231297.01647046;248240.86904218;212131.0170502;291493.31371321;294318.65356996;347588.83799442;304414.43393121;332875.47980711;417919.08248285;129514.17571808;332249.03072982;320380.78287732;352709.37661878;398656.42199868;328826.18495369;370296.56771766;285368.49056436;194122.01052586;261369.37453778;275270.73322956;377081.0504525;393503.75261753;340411.8295736;389729.64910872;201634.45802024;254685.51920585;393970.465369;281898.88561844;283136.18770727;257300.54996652;432504.26210743;300118.5015271;277349.89796398
887.55504345634;90427.018488873;78476.959883995;82353.441540342;88131.725111139;126538.58718588;71835.695939794;103944.26627729;106829.2320159;87877.768818612;92537.576211354;127750.79568276;105854.46645731;91300.757873218;74238.21207095;85438.964425802;91726.607627308;82363.540092434;59030.368261311;98707.17347598;73836.402649332;105751.73826209;84907.003802144;84930.572392135;58172.2096033;108186.14601701;75423.731249289;64192.281378645;54675.300394568;75732.401133406;77412.47255836;134408.95989387;78929.784312338;77211.810654929;78721.759548265;62758.830540705;89075.378238911;85929.154292317;72713.45298328;75511.842562327;64911.113129557;42163.100279063;94825.373858575;77139.684318017;99385.066179713;86210.542606356;99117.865588714;105127.39632444;24607.080512249;93077.117916496;86286.027908553;103874.49964069;89950.33266507;78188.749349623;86092.068285851;70671.72689642;57523.712539209;68957.487061784;98374.439763829;95724.408963941;111161.4099089;97730.159743225;107149.22993504;65376.497596019;83543.129149026;122784.49438181;88840.543397929;85406.781484878;60824.382342199;117529.72124857;79727.547039085;51927.142488407
892.62011242403;42937.427059385;0;30428.346257731;24539.864514562;23574.176092632;0;24728.225520854;35689.263692476;22649.61251898;17737.604161172;17680.870774405;18276.615574403;31749.549352622;26752.253477798;14676.022598878;22833.491311078;39321.205853405;26756.964244909;31894.056749176;25821.459874905;0;0;62003.209180016;0;0;10624.05808833;0;27579.569222064;0;0;15548.511665648;0;24722.312200868;0;27899.760705434;24345.163945275;65588.99604809;0;0;0;689.95785337925;0;0;0;0;0;0;24301.570830904;0;42549.364174121;0;19049.027258307;0;0;7211.0938936335;0;20639.922003894;20347.055236016;23870.066912925;17155.66599917;18351.654240583;32038.899410784;0;24615.902810958;0;8391.9359857957;0;0;0;0;13992.944692158
